[ 2025-12-09 15:05:46,235 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-09 15:05:48,327 ] 82 root - INFO - Performed train-test split.
[ 2025-12-09 15:05:48,475 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-09 15:05:48,501 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-09 15:05:48,594 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 15:05:48,594 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 15:05:48,594 ] 32 root - INFO - Required number of columns:2
[ 2025-12-09 15:05:48,594 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-09 15:05:48,885 ] 28 root - INFO - data Validation Completed
[ 2025-12-09 15:05:48,885 ] 31 root - INFO - data Transformation started
[ 2025-12-09 15:05:48,886 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-09 15:05:48,886 ] 65 root - INFO - Starting data transformation
[ 2025-12-09 15:05:48,943 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-09 15:05:48,943 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-09 15:05:48,962 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 15:05:48,966 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 15:05:48,967 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-09 15:05:48,971 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-09 15:05:48,973 ] 35 root - INFO - data Transformation completed
[ 2025-12-09 15:05:48,974 ] 37 root - INFO - Model Training sstared
